2025-07-02 13:23:11 | SentimentAnalyzer | INFO     | analyze         | ✅ 감정 분석 완료 - 005930 감정: very_negative
2025-07-02 13:23:11 | AnalysisEngine | INFO     | analyze_comprehensive | ✅ 005930 종합 분석 완료 - 점수: 46.6, 추천: HOLD
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode | ✅ 005930 분석 완료 - 점수: 46.6
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode | [2/5] 000660 SK하이닉스 분석 중...
2025-07-02 13:23:11 | AnalysisEngine | INFO     | analyze_comprehensive | 🔍 000660 SK하이닉스 종합 분석 시작
2025-07-02 13:23:11 | TechnicalAnalyzer | INFO     | analyze         | ✅ 기술적 분석 완료 - 점수: 65.0
2025-07-02 13:23:11 | FundamentalAnalyzer | INFO     | analyze         | ✅ 펀더멘털 분석 완료 - 점수: 70.8
2025-07-02 13:23:11 | SentimentAnalyzer | INFO     | analyze         | ✅ 감정 분석 완료 - 000660 감정: very_negative
2025-07-02 13:23:11 | AnalysisEngine | INFO     | analyze_comprehensive | ✅ 000660 종합 분석 완료 - 점수: 68.1, 추천: WEAK_BUY
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode | ✅ 000660 분석 완료 - 점수: 68.1
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode | [3/5] 035720 카카오 분석 중...
2025-07-02 13:23:11 | AnalysisEngine | INFO     | analyze_comprehensive | 🔍 035720 카카오 종합 분석 시작
2025-07-02 13:23:11 | TechnicalAnalyzer | INFO     | analyze         | ✅ 기술적 분석 완료 - 점수: 76.9
2025-07-02 13:23:11 | FundamentalAnalyzer | INFO     | analyze         | ✅ 펀더멘털 분석 완료 - 점수: 56.0
2025-07-02 13:23:11 | SentimentAnalyzer | INFO     | analyze         | ✅ 감정 분석 완료 - 035720 감정: neutral
2025-07-02 13:23:11 | AnalysisEngine | INFO     | analyze_comprehensive | ✅ 035720 종합 분석 완료 - 점수: 76.0, 추천: BUY
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode | ✅ 035720 분석 완료 - 점수: 76.0
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode | [4/5] 005490 POSCO홀딩스 분석 중...
2025-07-02 13:23:11 | AnalysisEngine | INFO     | analyze_comprehensive | 🔍 005490 POSCO홀딩스 종합 분석 시작
2025-07-02 13:23:11 | TechnicalAnalyzer | INFO     | analyze         | ✅ 기술적 분석 완료 - 점수: 86.1
2025-07-02 13:23:11 | FundamentalAnalyzer | INFO     | analyze         | ✅ 펀더멘털 분석 완료 - 점수: 48.3
2025-07-02 13:23:11 | SentimentAnalyzer | INFO     | analyze         | ✅ 감정 분석 완료 - 005490 감정: neutral
2025-07-02 13:23:11 | AnalysisEngine | INFO     | analyze_comprehensive | ✅ 005490 종합 분석 완료 - 점수: 66.7, 추천: WEAK_BUY
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode | ✅ 005490 분석 완료 - 점수: 66.7
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode | [5/5] 051910 LG화학 분석 중...
2025-07-02 13:23:11 | AnalysisEngine | INFO     | analyze_comprehensive | 🔍 051910 LG화학 종합 분석 시작
2025-07-02 13:23:11 | TechnicalAnalyzer | INFO     | analyze         | ✅ 기술적 분석 완료 - 점수: 43.7
2025-07-02 13:23:11 | FundamentalAnalyzer | INFO     | analyze         | ✅ 펀더멘털 분석 완료 - 점수: 72.2
2025-07-02 13:23:11 | SentimentAnalyzer | INFO     | analyze         | ✅ 감정 분석 완료 - 051910 감정: very_positive
2025-07-02 13:23:11 | AnalysisEngine | INFO     | analyze_comprehensive | ✅ 051910 종합 분석 완료 - 점수: 68.6, 추천: WEAK_BUY
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode | ✅ 051910 분석 완료 - 점수: 68.6
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode | 📈 분석 결과 요약:
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode |   전체 분석 종목: 5개
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode |   평균 점수: 65.2
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode |   매수 신호: 1개
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode |   고득점 종목: 0개
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode | 
🏆 상위 종목:
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode |   1. 035720 (카카오) - 점수: 76.0, 추천: BUY
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode |   2. 051910 (LG화학) - 점수: 68.6, 추천: WEAK_BUY
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode |   3. 000660 (SK하이닉스) - 점수: 68.1, 추천: WEAK_BUY
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode |   4. 005490 (POSCO홀딩스) - 점수: 66.7, 추천: WEAK_BUY
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode |   5. 005930 (삼성전자) - 점수: 46.6, 추천: HOLD
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode | ✅ 분석 모드 완료
2025-07-02 13:23:11 | Main         | INFO     | main            | ✅ 프로그램 정상 종료
2025-07-02 13:29:26 | Main         | INFO     | main            | 🚀 시스템 시작 - 모드: test, 전략: momentum
2025-07-02 13:29:26 | Main         | INFO     | main            | ⏰ 시작 시간: 2025-07-02 13:29:26
2025-07-02 13:29:26 | Main         | INFO     | run_test_mode   | 🧪 테스트 모드 시작
2025-07-02 13:29:26 | Main         | INFO     | run_test_mode   | 1. 설정 검사 중...
2025-07-02 13:29:26 | Main         | INFO     | run_test_mode   | ✅ 설정 검사 완료
2025-07-02 13:29:26 | Main         | INFO     | run_test_mode   | 2. 모듈 임포트 테스트 중...
2025-07-02 13:29:26 | Main         | INFO     | run_test_mode   | ✅ 데이터 수집기 임포트 성공
2025-07-02 13:29:27 | Main         | INFO     | run_test_mode   | ✅ 분석 엔진 임포트 성공
2025-07-02 13:29:27 | Main         | ERROR    | run_test_mode   | ❌ 테스트 모드 실행 실패: expected 'except' or 'finally' block (momentum_strategy.py, line 579)
2025-07-02 13:29:27 | Main         | ERROR    | main            | ❌ 프로그램 실행 실패: expected 'except' or 'finally' block (momentum_strategy.py, line 579)
2025-07-02 14:36:34 | Main         | INFO     | main            | 🚀 시스템 시작 - 모드: test, 전략: momentum
2025-07-02 14:36:34 | Main         | INFO     | main            | ⏰ 시작 시간: 2025-07-02 14:36:34
2025-07-02 14:36:34 | Main         | INFO     | run_test_mode   | 🧪 테스트 모드 시작
2025-07-02 14:36:34 | Main         | INFO     | run_test_mode   | 1. 설정 검사 중...
2025-07-02 14:36:34 | Main         | INFO     | run_test_mode   | ✅ 설정 검사 완료
2025-07-02 14:36:34 | Main         | INFO     | run_test_mode   | 2. 모듈 임포트 테스트 중...
2025-07-02 14:36:34 | Main         | INFO     | run_test_mode   | ✅ 데이터 수집기 임포트 성공
2025-07-02 14:36:34 | Main         | INFO     | run_test_mode   | ✅ 분석 엔진 임포트 성공
2025-07-02 14:36:34 | Main         | ERROR    | run_test_mode   | ❌ 테스트 모드 실행 실패: expected 'except' or 'finally' block (momentum_strategy.py, line 579)
2025-07-02 14:36:34 | Main         | ERROR    | main            | ❌ 프로그램 실행 실패: expected 'except' or 'finally' block (momentum_strategy.py, line 579)
2025-07-02 14:38:15 | Main         | INFO     | main            | 🚀 시스템 시작 - 모드: test, 전략: momentum
2025-07-02 14:38:15 | Main         | INFO     | main            | ⏰ 시작 시간: 2025-07-02 14:38:15
2025-07-02 14:38:15 | Main         | INFO     | run_test_mode   | 🧪 테스트 모드 시작
2025-07-02 14:38:15 | Main         | INFO     | run_test_mode   | 1. 설정 검사 중...
2025-07-02 14:38:15 | Main         | INFO     | run_test_mode   | ✅ 설정 검사 완료
2025-07-02 14:38:15 | Main         | INFO     | run_test_mode   | 2. 모듈 임포트 테스트 중...
2025-07-02 14:38:15 | Main         | INFO     | run_test_mode   | ✅ 데이터 수집기 임포트 성공
2025-07-02 14:38:16 | Main         | INFO     | run_test_mode   | ✅ 분석 엔진 임포트 성공
2025-07-02 14:38:16 | Main         | INFO     | run_test_mode   | ✅ 전략 모듈 임포트 성공
2025-07-02 14:38:16 | Main         | INFO     | run_test_mode   | 3. 간단한 분석 테스트...
2025-07-02 14:38:16 | Main         | INFO     | run_test_mode   | 더미 데이터 생성: 005930 삼성전자
