2025-07-05 09:48:48 | TradingSystem | ERROR    | analyze_symbol  | ❌ 086900 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:48:57 | TradingSystem | ERROR    | analyze_symbol  | ❌ 014680 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:49:06 | TradingSystem | ERROR    | analyze_symbol  | ❌ 011070 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:49:15 | TradingSystem | ERROR    | analyze_symbol  | ❌ 086280 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:49:24 | TradingSystem | ERROR    | analyze_symbol  | ❌ 071050 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:49:32 | TradingSystem | ERROR    | analyze_symbol  | ❌ 005830 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:49:39 | TradingSystem | ERROR    | analyze_symbol  | ❌ 141080 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:49:48 | TradingSystem | ERROR    | analyze_symbol  | ❌ 138040 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:49:56 | TradingSystem | ERROR    | analyze_symbol  | ❌ 064760 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:50:05 | TradingSystem | ERROR    | analyze_symbol  | ❌ 047810 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:50:14 | TradingSystem | ERROR    | analyze_symbol  | ❌ 000880 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:50:22 | TradingSystem | ERROR    | analyze_symbol  | ❌ 066570 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:50:31 | TradingSystem | ERROR    | analyze_symbol  | ❌ 267270 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:50:39 | TradingSystem | ERROR    | analyze_symbol  | ❌ 023530 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:50:48 | TradingSystem | ERROR    | analyze_symbol  | ❌ 000720 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:50:56 | TradingSystem | ERROR    | analyze_symbol  | ❌ 298380 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:51:05 | TradingSystem | ERROR    | analyze_symbol  | ❌ 000500 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:51:15 | TradingSystem | ERROR    | analyze_symbol  | ❌ 095340 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:51:23 | TradingSystem | ERROR    | analyze_symbol  | ❌ 034020 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:51:31 | TradingSystem | ERROR    | analyze_symbol  | ❌ 030200 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:51:40 | TradingSystem | ERROR    | analyze_symbol  | ❌ 051600 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:51:49 | TradingSystem | ERROR    | analyze_symbol  | ❌ 017670 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:51:57 | TradingSystem | ERROR    | analyze_symbol  | ❌ 007660 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:53:19 | TradingSystem | ERROR    | analyze_symbol  | ❌ 214450 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:53:27 | TradingSystem | ERROR    | analyze_symbol  | ❌ 329180 분석 실패: 'dict' object has no attribute 'symbol'
