2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 259960. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 003550. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 032830. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 009150. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 018260. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 012330. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 024110. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 086790. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 316140. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 090430. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 021240. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 030200. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 036570. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 251270. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 112040. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 064350. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 010950. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 011170. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 267250. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 042660. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 009830. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | WARNING  | save_filter_history | ⚠️ Stock not found for symbol 000720. Skipping FilteredStock entry.
2025-08-07 06:41:33 | DatabaseOperations | INFO     | save_filter_history | ✅ 필터링 이력 저장 완료: 전략=momentum, 종목수=40개
2025-08-07 06:41:33 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 005930(삼성전자) 종합 분석 시작...
2025-08-07 06:41:33 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 000660(SK하이닉스) 종합 분석 시작...
2025-08-07 06:41:33 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 035420(NAVER) 종합 분석 시작...
2025-08-07 06:41:33 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 005380(현대차) 종합 분석 시작...
2025-08-07 06:41:33 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 051910(LG화학) 종합 분석 시작...
