2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 007340 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 004840 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 155660 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 069730 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 017860 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 092780 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 017940 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 383220 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 007700 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 114090 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 078930 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 006360 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 001250 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 007070 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 078935 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 499790 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 012630 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 039570 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 089470 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 294870 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | INFO     | collect_filtered_stocks | 📊 배치 1 완료 - 수집된 종목: 0개, 실패: 50개
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 009540 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 267250 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 267270 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 443060 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 071970 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 010620 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 322000 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 042670 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 267260 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 329180 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 097230 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 014790 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 003580 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 204320 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 060980 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 011200 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 035000 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 002460 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 487570 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
