2025-07-05 07:35:09 | KISCollector | ERROR    | _get_access_token | ❌ 액세스 토큰 발급 실패: 403, {"error_description":"접근토큰 발급 잠시 후 다시 시도하세요(1분당 1회)","error_code":"EGW00133"}
2025-07-05 07:35:09 | KISCollector | INFO     | close           | ✅ KIS API 연결 종료
2025-07-05 07:36:20 | Main         | INFO     | main            | 🚀 시스템 시작 - 모드: test, 전략: momentum
2025-07-05 07:36:20 | Main         | INFO     | main            | ⏰ 시작 시간: 2025-07-05 07:36:20
2025-07-05 07:36:20 | Main         | INFO     | main            | 📁 작업 디렉토리: D:\trading_system
2025-07-05 07:36:20 | Main         | INFO     | run_test_mode   | 🧪 시스템 테스트 모드 시작
2025-07-05 07:36:20 | Main         | INFO     | run_test_mode   | 1️⃣ 설정 시스템 검사 중...
2025-07-05 07:36:20 | Main         | INFO     | run_test_mode   | ✅ 설정 시스템 정상
2025-07-05 07:36:20 | Main         | INFO     | run_test_mode   | 2️⃣ 로깅 시스템 검사 중...
2025-07-05 07:36:20 | Main         | INFO     | run_test_mode   | ✅ 로깅 시스템 정상
2025-07-05 07:36:20 | Main         | INFO     | run_test_mode   | 3️⃣ 데이터베이스 모듈 검사 중...
2025-07-05 07:36:21 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
2025-07-05 07:36:21 | Main         | INFO     | run_test_mode   | ✅ 데이터베이스 모듈 정상
2025-07-05 07:36:21 | Main         | INFO     | run_test_mode   | 4️⃣ 데이터 수집기 모듈 검사 중...
2025-07-05 07:36:21 | Main         | INFO     | run_test_mode   | ✅ 데이터 수집기 모듈 정상
2025-07-05 07:36:21 | Main         | INFO     | run_test_mode   | 5️⃣ 분석 엔진 모듈 검사 중...
2025-07-05 07:36:21 | AnalysisEngine | INFO     | __init__        | ✅ 뉴스 수집기 초기화 완료
2025-07-05 07:36:21 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-07-05 07:36:21 | TechnicalAnalyzer | INFO     | __init__        | ✅ 차트패턴 분석기 초기화 완료
2025-07-05 07:36:21 | TechnicalAnalyzer | INFO     | __init__        | ✅ 수급 분석기 초기화 완료
2025-07-05 07:36:21 | AnalysisEngine | INFO     | __init__        | ✅ 향상된 기술적 분석기 초기화 완료
2025-07-05 07:36:21 | AnalysisEngine | INFO     | __init__        | ✅ 수급 분석기 초기화 완료
2025-07-05 07:36:21 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-07-05 07:36:21 | AnalysisEngine | INFO     | __init__        | ✅ 차트패턴 분석기 초기화 완료
2025-07-05 07:36:21 | Main         | INFO     | run_test_mode   | ✅ 분석 엔진 모듈 정상
2025-07-05 07:36:21 | Main         | INFO     | run_test_mode   | 6️⃣ 전략 모듈 검사 중...
2025-07-05 07:36:21 | MomentumStrategy | INFO     | __init__        | 📈 모멘텀 전략 초기화 완료
2025-07-05 07:36:21 | Main         | INFO     | run_test_mode   | ✅ 전략 모듈 정상
2025-07-05 07:36:21 | Main         | INFO     | run_test_mode   | 7️⃣ 통합 테스트 중...
